"state_county_code","county_name","state_name","state_fips","WHat","VbarHat","RealIncHat","LMhat","LRhat","QHat","PHat","PriceHat","OwnCommutingHat","OwnTradeHat","ownTrade"
1001,"Autauga County","Alabama",1,-1.4198642261931127e-10,-6.410792796618381e-8,0.11196156240129818,-1.6207316122507365e-7,-7.123688405830109e-8,-0.4117647687398438,0.19348319153451543,-0.1006883963393872,8.948044172285563e-8,-1.6263461743992735e-7,0.01838201247010075
1003,"Baldwin County","Alabama",1,-2.992045056160464e-9,1.6070981234683757e-7,0.11196185781139278,1.3591255987321915e-7,-3.8695002657629374e-7,-0.4117648343615685,0.19348319904311984,-0.1006884330744473,1.9471057721709428e-7,1.6277529280017689e-7,0.07394130201715307
1005,"Barbour County","Alabama",1,-1.0133557326597042e-9,-5.649217260650374e-8,0.11196155348754422,1.1018108647675717e-7,-2.4880358107104428e-8,-0.4117647436737769,0.19348318872400583,-0.10068838228134913,5.0336530277306224e-8,1.051690974307462e-7,0.0117485334900484
1007,"Bibb County","Alabama",1,3.6131033720465666e-9,2.337868565405188e-8,0.11196161690845008,3.931269021428818e-8,-3.62720067315081e-8,-0.41176471449595553,0.19348319468104047,-0.10068836174493823,1.2769175272708821e-8,3.5395228970003245e-8,0.006664215880684654
1009,"Blount County","Alabama",1,4.408208909012501e-9,-8.865967959792442e-9,0.11196157730890755,3.5211207283225576e-9,2.6586743917533795e-9,-0.41176471002924075,0.19348319533807268,-0.10068835871634796,2.908737695150876e-9,-1.1301072300184956e-9,0.011823384279079162
1011,"Bullock County","Alabama",1,-9.866820693815725e-10,-8.50098744731298e-8,0.11196154132750191,7.328556206331882e-9,-5.122534041390736e-8,-0.411764769153369,0.1934831882149617,-0.10068839809307817,9.278093671127863e-8,9.569873782311333e-10,0.003781221013805087
1013,"Butler County","Alabama",1,-1.4605121556598988e-9,-1.2463405918428094e-7,0.1119615398167535,2.137985339878412e-7,-1.3252283170839263e-7,-0.41176482531239367,0.1934831880609773,-0.10068843250573534,1.8485216290997641e-7,2.0846139148211762e-7,0.008997542792428098
1015,"Calhoun County","Alabama",1,4.144311782638965e-9,-3.974972351272754e-9,0.11196156575852445,-4.429591682342249e-8,4.183681268088435e-8,-0.41176468829837376,0.19348319633542754,-0.10068834497631418,-3.5896699834836454e-8,-4.564845157428721e-8,0.052815941418286605
1017,"Chambers County","Alabama",1,2.2293573653797694e-9,7.723640083057148e-8,0.11196169791649369,-3.142003757172773e-8,-1.5409512388320223e-7,-0.4117647415774587,0.19348319353064847,-0.10068837882624704,5.050720752741711e-8,-3.4077944244259584e-8,0.011065390617370878
1019,"Cherokee County","Alabama",1,3.5960172617421904e-9,-1.7936334262280695e-7,0.11196144536808017,3.167340234533356e-8,5.0280561936233426e-9,-0.4117647868479911,0.1934831961243657,-0.10068840533797596,1.2532797954989405e-7,3.1435215097630476e-8,0.005446670583637119
1021,"Chilton County","Alabama",1,2.632276618896867e-9,1.2861206388770086e-7,0.11196173029738254,-1.8686998637384988e-7,-1.3393164299824178e-7,-0.4117647094361996,0.19348319432450167,-0.10068835881193106,-8.60161608606802e-10,-1.8874118057343736e-7,0.012203156326682877
1023,"Choctaw County","Alabama",1,2.1488388846080397e-10,5.154722315658944e-8,0.11196163764191436,-1.2012418482143516e-7,-3.616420596319614e-8,-0.4117646987380984,0.19348319230869127,-0.10068835318107106,-2.3248075020632086e-8,-1.1981024505836047e-7,0.007262431503957333
1025,"Clarke County","Alabama",1,-1.8862023054566635e-10,2.3040847008104492e-9,0.11196158706616988,-1.3688281752521902e-7,1.063528376477052e-9,-0.4117647043183498,0.19348319237789036,-0.10068835656228714,-1.558077267205249e-8,-1.351844232111432e-7,0.010734802080679935
1027,"Clay County","Alabama",1,3.1891320695365266e-9,-2.2721420622762167e-7,0.11196138736617978,7.670744039955935e-10,6.95028874453385e-8,-0.4117647791274145,0.1934831942564177,-0.10068840146111657,1.1459211601838604e-7,-2.9458259165338063e-9,0.004982955431121611
1029,"Cleburne County","Alabama",1,3.590779007467404e-9,-1.504284515840837e-7,0.11196146531105966,3.006391313675749e-8,1.090258772151742e-8,-0.41176477068163087,0.1934831961379193,-0.10068839544560226,9.888716001604791e-8,2.987551006583544e-8,0.003322365685076641
1031,"Coffee County","Alabama",1,-2.7757134368755487e-9,-2.0455828686483102e-7,0.1119614292945641,3.590175512435678e-8,1.0985588438927607e-8,-0.41176479578232383,0.19348318684602894,-0.10068841499644476,1.3349204941448534e-7,3.1456261151419085e-8,0.02127782798232156
1033,"Colbert County","Alabama",1,9.874014939015296e-10,7.108571287162135e-8,0.11196168852642274,-5.222419607875395e-9,-1.3874601512142704e-7,-0.4117647373054827,0.19348319231522138,-0.10068837676330544,4.078868465207108e-8,-7.209618013703789e-9,0.03063884009033513
1035,"Conecuh County","Alabama",1,-4.3781800407316496e-10,1.8903464815700488e-7,0.1119617497901948,-1.4836557427067021e-8,-5.3723339554778704e-8,-0.4117646430404247,0.1934831898356908,-0.10068832023823804,-1.1444646541569625e-7,-1.8780771382509442e-8,0.0056041130510036405
1037,"Coosa County","Alabama",1,2.9112570132383553e-9,1.1847509262530309e-7,0.11196166461487644,2.2741356575650684e-8,3.088005806617389e-8,-0.411764636518109,0.1934831930271208,-0.10068831480675311,-1.1935490462633425e-7,1.6772058408776047e-8,0.0020584683759526674
